Codice,Titolo,Tipo,Sorgente (Drupal),Destinazione (Django)
tv00001,"TV2000 - SANTA BARBARA, LA CUSTODE DEL CORAGGIO DEI VIGILI DEL FUOCO",PAGINA,/visti-in-tv/tv2000-santa-barbara-la-custode-del-coraggio-dei-vigili-del-fuoco,/visti-in-tv/tv2000-santa-barbara-la-custode-del-coraggio-dei-vigili-del-fuoco/
tv00001,"TV2000 - SANTA BARBARA, LA CUSTODE DEL CORAGGIO DEI VIGILI DEL FUOCO",IMMAGINE,/sites/default/files/tv-interviste/2025-12-05/immagini/screenshot-2025-12-05-alle-08-08-03-crea-visti-tv.jpg,/media/visti_in_tv/tv00001/screenshot-2025-12-05-alle-08-08-03-crea-visti-tv.jpg
tv00001,"TV2000 - SANTA BARBARA, LA CUSTODE DEL CORAGGIO DEI VIGILI DEL FUOCO",VIDEO,/sites/default/files/tv-interviste/2025-12-05/Video/integrale.mp4,/media/visti_in_tv/tv00001/integrale.mp4
tv00002,TG1 – SANTA BARBARA,PAGINA,/visti-in-tv/tg1-santa-barbara,/visti-in-tv/tg1-santa-barbara/
tv00002,TG1 – SANTA BARBARA,IMMAGINE,/sites/default/files/tv-interviste/2025-12-05/immagini/screenshot-2025-12-05-alle-08-00-04-crea-visti-tv.jpg,/media/visti_in_tv/tv00002/screenshot-2025-12-05-alle-08-00-04-crea-visti-tv.jpg
tv00002,TG1 – SANTA BARBARA,VIDEO,/sites/default/files/tv-interviste/2025-12-05/Video/tv.mp4,/media/visti_in_tv/tv00002/tv.mp4
tv00003,TG1 - CROLLO TORRE DEI CONTI A ROMA,PAGINA,/visti-in-tv/tg1-crollo-torre-dei-conti-roma,/visti-in-tv/tg1-crollo-torre-dei-conti-a-roma/
tv00003,TG1 - CROLLO TORRE DEI CONTI A ROMA,IMMAGINE,/sites/default/files/tv-interviste/2025-11-05/immagini/foto-2025-11-05-080829_1-1-1-crea-visti-tv.jpg,/media/visti_in_tv/tv00003/foto-2025-11-05-080829_1-1-1-crea-visti-tv.jpg
tv00003,TG1 - CROLLO TORRE DEI CONTI A ROMA,VIDEO,/sites/default/files/tv-interviste/2025-11-05/Video/rainews.mp4,/media/visti_in_tv/tv00003/rainews.mp4
tv00004,TG1 - INCENDIO APPARTAMENTO A CORNAREDO,PAGINA,/visti-in-tv/tg1-incendio-appartamento-cornaredo,/visti-in-tv/tg1-incendio-appartamento-a-cornaredo/
tv00004,TG1 - INCENDIO APPARTAMENTO A CORNAREDO,IMMAGINE,/sites/default/files/tv-interviste/2025-10-11/immagini/dcdd-crea-visti-tv.jpeg,/media/visti_in_tv/tv00004/dcdd-crea-visti-tv.jpeg
tv00004,TG1 - INCENDIO APPARTAMENTO A CORNAREDO,VIDEO,/sites/default/files/tv-interviste/2025-10-11/Video/whatsapp-video-2025-10-11-14-16-43.mp4,/media/visti_in_tv/tv00004/whatsapp-video-2025-10-11-14-16-43.mp4
tv00005,"VITA IN DIRETTA – MALTEMPO LOMBARDIA, IL SALVATAGGIO DI MAMMA E BAMBINA A MEDA BRIANZA",PAGINA,/visti-in-tv/vita-diretta-maltempo-lombardia-il-salvataggio-di-mamma-e-bambina-meda-brianza,/visti-in-tv/vita-in-diretta-maltempo-lombardia-il-salvataggio-di-mamma-e-bambina-a-meda-brianza/
tv00005,"VITA IN DIRETTA – MALTEMPO LOMBARDIA, IL SALVATAGGIO DI MAMMA E BAMBINA A MEDA BRIANZA",IMMAGINE,/sites/default/files/tv-interviste/2025-09-24/immagini/visti-crea-visti-tv.jpeg,/media/visti_in_tv/tv00005/visti-crea-visti-tv.jpeg
tv00005,"VITA IN DIRETTA – MALTEMPO LOMBARDIA, IL SALVATAGGIO DI MAMMA E BAMBINA A MEDA BRIANZA",VIDEO,/sites/default/files/tv-interviste/2025-09-24/Video/visti1.mp4,/media/visti_in_tv/tv00005/visti1.mp4
tv00006,"RAI3 - MOSTRA DEL CINEMA VENEZIA, PRESENTAZIONE CORTOMETRAGGIO VIGILI DEL FUOCO &quot;IN RE MINORE&quot;",PAGINA,/visti-in-tv/rai3-mostra-del-cinema-venezia-presentazione-cortometraggio-vigili-del-fuoco-re-minore,/visti-in-tv/rai3-mostra-del-cinema-venezia-presentazione-cortometraggio-vigili-del-fuoco-quotin-re-minorequot/
tv00006,"RAI3 - MOSTRA DEL CINEMA VENEZIA, PRESENTAZIONE CORTOMETRAGGIO VIGILI DEL FUOCO &quot;IN RE MINORE&quot;",IMMAGINE,/sites/default/files/tv-interviste/2025-09-05/immagini/tappo-rai-crea-visti-tv.jpeg,/media/visti_in_tv/tv00006/tappo-rai-crea-visti-tv.jpeg
tv00006,"RAI3 - MOSTRA DEL CINEMA VENEZIA, PRESENTAZIONE CORTOMETRAGGIO VIGILI DEL FUOCO &quot;IN RE MINORE&quot;",VIDEO,/sites/default/files/tv-interviste/2025-09-05/Video/servizio-rai.mp4,/media/visti_in_tv/tv00006/servizio-rai.mp4
tv00007,"TG UNOMATTINA – “CRISTO DEGLI ABISSI”, LE OPERAZIONI DEI SOMMOZZATORI DEI VIGILI DEL FUOCO SUI FONDALI DI CAMOGLI",PAGINA,/visti-in-tv/tg-unomattina-cristo-degli-abissi-le-operazioni-dei-sommozzatori-dei-vigili-del-fuoco,/visti-in-tv/tg-unomattina-cristo-degli-abissi-le-operazioni-dei-sommozzatori-dei-vigili-del-fuoco-sui-fondali-di-camogli/
